1,rockstar,Post Malone,2013494,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx,11/15/17,us
2,Gucci Gang,Lil Pump,1444653,https://open.spotify.com/track/43ZyHQITOjhciSUUNPVRHc,11/15/17,us
3,I Fall Apart,Post Malone,1143988,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh,11/15/17,us
4,Havana,Camila Cabello,1091737,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb,11/15/17,us
5,Too Good At Goodbyes,Sam Smith,1027711,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV,11/15/17,us
6,No Limit,G-Eazy,926717,https://open.spotify.com/track/2Xqd0wUttjueBfdcltADOv,11/15/17,us
7,1-800-273-8255,Logic,897493,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV,11/15/17,us
8,Plain Jane,A$AP Ferg,882997,https://open.spotify.com/track/4dVpf9jZjcORqGTLUaeYj9,11/15/17,us
9,Bank Account,21 Savage,881818,https://open.spotify.com/track/2fQrGHiQOvpL9UgPvtYy6G,11/15/17,us
10,Ric Flair Drip (& Metro Boomin),Offset,868983,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR,11/15/17,us
11,What Lovers Do (feat. SZA),Maroon 5,804290,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k,11/15/17,us
12,Young Dumb & Broke,Khalid,796506,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY,11/15/17,us
13,Candy Paint,Post Malone,781446,https://open.spotify.com/track/42CeaId2XNlxugDvyqHfDf,11/15/17,us
14,Let You Down,NF,780766,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,11/15/17,us
15,MotorSport,Migos,770232,https://open.spotify.com/track/1YZfcVLbbJwfizR5cDOp3q,11/15/17,us
16,Perfect,Ed Sheeran,765462,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,11/15/17,us
17,XO TOUR Llif3,Lil Uzi Vert,765381,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO,11/15/17,us
18,I Get The Bag (feat. Migos),Gucci Mane,722654,https://open.spotify.com/track/1XRgIKC5TPwo7nWGyKqgG0,11/15/17,us
19,Bodak Yellow,Cardi B,710410,https://open.spotify.com/track/2771LMNxwf62FTAdpJMQfM,11/15/17,us
20,Walk On Water (feat. Beyoncé),Eminem,705843,https://open.spotify.com/track/5b2QnYcT9rQIkhRWt4HztQ,11/15/17,us
21,Wolves,Selena Gomez,701204,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC,11/15/17,us
22,Ghostface Killers,21 Savage,688498,https://open.spotify.com/track/5u6vkDnOyaf8LsteDAj2ub,11/15/17,us
23,New Rules,Dua Lipa,675295,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0,11/15/17,us
24,Congratulations,Post Malone,670872,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9,11/15/17,us
25,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,666946,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn,11/15/17,us
26,Silence,Marshmello,664999,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU,11/15/17,us
27,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,634796,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y,11/15/17,us
28,Bad At Love,Halsey,602416,https://open.spotify.com/track/7y9iMe8SOB6z3NoHE2OfXl,11/15/17,us
29,HUMBLE.,Kendrick Lamar,601958,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,11/15/17,us
30,Unforgettable,French Montana,584905,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe,11/15/17,us
31,Jocelyn Flores,XXXTENTACION,574850,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96,11/15/17,us
32,Butterfly Effect,Travis Scott,570790,https://open.spotify.com/track/1yxgsra98r3qAtxqiGZPiX,11/15/17,us
33,Sorry Not Sorry,Demi Lovato,553691,https://open.spotify.com/track/3m660poUr1chesgkkjQM7P,11/15/17,us
34,Roll In Peace (feat. XXXTENTACION),Kodak Black,545659,https://open.spotify.com/track/40oKW22ZNNkEdZLJTScaQI,11/15/17,us
35,goosebumps,Travis Scott,539336,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2,11/15/17,us
36,Feel It Still,Portugal. The Man,532248,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK,11/15/17,us
37,The Way Life Goes (feat. Oh Wonder),Lil Uzi Vert,517449,https://open.spotify.com/track/2eAZfqOm4EnOF9VvN50Tyc,11/15/17,us
38,Thunder,Imagine Dragons,516858,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW,11/15/17,us
39,Fuck Love (feat. Trippie Redd),XXXTENTACION,504644,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2,11/15/17,us
40,Wanted You (feat. Lil Uzi Vert),NAV,499465,https://open.spotify.com/track/790MhTXPFrYkrqCKvpg4t1,11/15/17,us
41,Location,Khalid,494232,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif,11/15/17,us
42,How Long,Charlie Puth,493112,https://open.spotify.com/track/32DGGj6KlNuBr6WaqRxpxi,11/15/17,us
43,Dusk Till Dawn - Radio Edit,ZAYN,487822,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv,11/15/17,us
44,LOVE. FEAT. ZACARI.,Kendrick Lamar,486857,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As,11/15/17,us
45,Drowning (feat. Kodak Black),A Boogie Wit da Hoodie,480823,https://open.spotify.com/track/1f5cbQtDrykjarZVrShaDI,11/15/17,us
46,Slippery (feat. Gucci Mane),Migos,470046,https://open.spotify.com/track/6p8NuHm8uCGnn2Dtbtf7zE,11/15/17,us
47,Betrayed,Lil Xan,463200,https://open.spotify.com/track/6NWl2m8asvH83xjuXVNsuG,11/15/17,us
48,Pray,Sam Smith,451793,https://open.spotify.com/track/7DsX5K72fewVGb47qj7Tbg,11/15/17,us
49,Rake It Up,Yo Gotti,451286,https://open.spotify.com/track/4knL4iPxPOZjQzTUlELGSY,11/15/17,us
50,Go Flex,Post Malone,439026,https://open.spotify.com/track/5yuShbu70mtHXY0yLzCQLQ,11/15/17,us
51,Pick It Up (feat. A$AP Rocky),Famous Dex,426021,https://open.spotify.com/track/3ncgNpxLoBQ65ABk4djDyd,11/15/17,us
52,Stargazing,Kygo,379272,https://open.spotify.com/track/0Zbbxnx4SGGHoIow4PpISP,11/15/17,us
53,Sauce It Up,Lil Uzi Vert,373149,https://open.spotify.com/track/1uL78kFWxhz3umTMWJu8n5,11/15/17,us
54,...Ready For It?,Taylor Swift,371211,https://open.spotify.com/track/19WjVVgXjdKXfLXoaDPwTM,11/15/17,us
55,GUMMO,6ix9ine,364725,https://open.spotify.com/track/2vjmyyAnDUzilFYxOlTdO1,11/15/17,us
56,Believer,Imagine Dragons,358808,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6,11/15/17,us
57,Rubbin Off The Paint,YBN Nahmir,357131,https://open.spotify.com/track/0taOCiup4HNG9LmbduVlJj,11/15/17,us
58,Call It What You Want,Taylor Swift,355530,https://open.spotify.com/track/0tDfp0vFR95Gg6Mrhza3lX,11/15/17,us
59,Relationship (feat. Future),Young Thug,349201,https://open.spotify.com/track/25oOaleife6E2MIKmFkPvg,11/15/17,us
60,Glorious (feat. Skylar Grey),Macklemore,348577,https://open.spotify.com/track/0CokSRCu5hZgPxcZBaEzVE,11/15/17,us
61,The Way Life Goes (feat. Nicki Minaj & Oh Wonder) - Remix,Lil Uzi Vert,347154,https://open.spotify.com/track/6GNifiuBPrKFpwNBYnooFm,11/15/17,us
62,Magnolia,Playboi Carti,341820,https://open.spotify.com/track/1e1JKLEDKP7hEQzJfNAgPl,11/15/17,us
63,DNA.,Kendrick Lamar,341785,https://open.spotify.com/track/6HZILIRieu8S0iqY8kIKhj,11/15/17,us
64,Mi Gente (feat. Beyoncé),J Balvin,339448,https://open.spotify.com/track/7fwXWKdDNI5IutOMc5OKYw,11/15/17,us
65,Love Galore,SZA,339078,https://open.spotify.com/track/0q75NwOoFiARAVp4EXU4Bs,11/15/17,us
66,The Race,22 Savage,338751,https://open.spotify.com/track/0UioblV1x795s55Ur58c6c,11/15/17,us
67,wokeuplikethis*,Playboi Carti,337988,https://open.spotify.com/track/59J5nzL1KniFHnU120dQzt,11/15/17,us
68,Look What You Made Me Do,Taylor Swift,334235,https://open.spotify.com/track/6uFsE1JgZ20EXyU0JQZbUR,11/15/17,us
69,Redbone,Childish Gambino,333036,https://open.spotify.com/track/3kxfsdsCpFgN412fpnW85Y,11/15/17,us
70,Shape of You,Ed Sheeran,331624,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,11/15/17,us
71,White Iverson,Post Malone,329842,https://open.spotify.com/track/6eT7xZZlB2mwyzJ2sUKG6w,11/15/17,us
72,Attention,Charlie Puth,328602,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv,11/15/17,us
73,Losin Control,Russ,324302,https://open.spotify.com/track/4cxMGhkinTocPSVVKWIw0d,11/15/17,us
74,Transportin',Kodak Black,324027,https://open.spotify.com/track/1WIZiOuNO3woKfdlSK2gNn,11/15/17,us
75,Mi Gente,J Balvin,321683,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8,11/15/17,us
76,Wait,Maroon 5,317016,https://open.spotify.com/track/1Qg9jWGDkKAGZXj5v2OG59,11/15/17,us
77,Body Like A Back Road,Sam Hunt,315959,https://open.spotify.com/track/7mldq42yDuxiUNn08nvzHO,11/15/17,us
78,It's A Vibe,2 Chainz,312033,https://open.spotify.com/track/6H0AwSQ20mo62jGlPGB8S6,11/15/17,us
79,I Miss You (feat. Julia Michaels),Clean Bandit,308865,https://open.spotify.com/track/2xmrfQpmS2iJExTlklLoAL,11/15/17,us
80,Gorgeous,Taylor Swift,307986,https://open.spotify.com/track/5Gd19NupVe5X8bAqxf9Iaz,11/15/17,us
81,Mask Off,Future,305873,https://open.spotify.com/track/0VgkVdmE4gld66l8iyGjgx,11/15/17,us
82,"Homemade Dynamite (Feat. Khalid, Post Malone & SZA) - REMIX",Lorde,301084,https://open.spotify.com/track/69Naniu2KjKjaQOBUagE8U,11/15/17,us
83,Sky Walker,Miguel,299466,https://open.spotify.com/track/1DRW9bQzt2SE8f7H4KJZyL,11/15/17,us
84,Lonely Together (feat. Rita Ora),Avicii,297732,https://open.spotify.com/track/2OALaHcDdKkjYEpAr0Qzab,11/15/17,us
85,Good Old Days (feat. Kesha),Macklemore,296929,https://open.spotify.com/track/2Za1AlJNvksouPPWbXpR2X,11/15/17,us
86,Pills & Automobiles,Chris Brown,295433,https://open.spotify.com/track/5gx2E5aIXMRBellPZW1up5,11/15/17,us
87,Pull Up N Wreck (With Metro Boomin),Big Sean,295017,https://open.spotify.com/track/0Gux2yTMWYOlcBUNjGJu5p,11/15/17,us
88,Everybody Dies In Their Nightmares,XXXTENTACION,294217,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7,11/15/17,us
89,Say You Won't Let Go,James Arthur,293313,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,11/15/17,us
90,Praying,Kesha,292379,https://open.spotify.com/track/0jdny0dhgjUwoIp5GkqEaA,11/15/17,us
91,Rap Saved Me,21 Savage,291774,https://open.spotify.com/track/0tdCy39PgWN8LFWu34ORn3,11/15/17,us
92,What Ifs,Kane Brown,289379,https://open.spotify.com/track/7zVCrzzEJU7u24sbJPXA5W,11/15/17,us
93,Slow Hands,Niall Horan,286736,https://open.spotify.com/track/38yBBH2jacvDxrznF7h08J,11/15/17,us
94,New Freezer (feat. Kendrick Lamar),Rich The Kid,282559,https://open.spotify.com/track/4pYZLpX23Vx8rwDpJCpPTA,11/15/17,us
95,Questions,Chris Brown,279258,https://open.spotify.com/track/3ojTJaonfkL96iIWa47SU3,11/15/17,us
96,Patek Water,Future,278720,https://open.spotify.com/track/7r6LNJT2LqpLpEyZQJPygt,11/15/17,us
97,Strip That Down,Liam Payne,275554,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ,11/15/17,us
98,Despacito - Remix,Luis Fonsi,272886,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,11/15/17,us
99,I Like Me Better,Lauv,267852,https://open.spotify.com/track/1wjzFQodRWrPcQ0AnYnvQ9,11/15/17,us
100,The Weekend,SZA,267476,https://open.spotify.com/track/6gU9OKjOE7ghfEd55oRO57,11/15/17,us
101,Unforgettable,Thomas Rhett,266715,https://open.spotify.com/track/30MM5jWpUmOxtTNd9Ey5LZ,11/15/17,us
